Titulo;ISSN;eISSN;Categorias;Indices;Citacoes;JIF_2025;QuartilMelhor;Quartis
Journal of Aquatic Food Product Technology;10498850;15470636;FOOD SCIENCE & TECHNOLOGY;SCIE;1729;1.2;Q4;Q4
JOURNAL OF ARTIFICIAL ORGANS;14347229;16190904;ENGINEERING, BIOMEDICAL | TRANSPLANTATION;SCIE;969;1.2;Q4;Q4
JOURNAL OF ARTS MANAGEMENT LAW AND SOCIETY;10632921;19307799;HUMANITIES, MULTIDISCIPLINARY;AHCI;467;1.2;N/A;N/A
JOURNAL OF BIOLOGICAL EDUCATION;00219266;21576009;BIOLOGY | EDUCATION & EDUCATIONAL RESEARCH | EDUCATION, SCIENTIFIC DISCIPLINES;SCIE | SSCI;1243;1.2;Q3;Q3
Journal of Borderlands Studies;08865655;21591229;GEOGRAPHY;ESCI;923;1.2;Q3;Q3
Journal of Cognitive Enhancement;25093290;25093304;NEUROSCIENCES;ESCI;713;1.2;Q4;Q4
Journal of College Student Retention-Research Theory & Practice;15210251;15414167;EDUCATION & EDUCATIONAL RESEARCH;ESCI;1490;1.2;Q3;Q3
JOURNAL OF COMPARATIVE PATHOLOGY;00219975;15323129;PATHOLOGY | VETERINARY SCIENCES;SCIE;3433;1.2;Q3;Q3 | Q4
JOURNAL OF COMPUTATIONAL MATHEMATICS;02549409;19917139;MATHEMATICS | MATHEMATICS, APPLIED;SCIE;1231;1.2;Q1;Q1 | Q2
JOURNAL OF CONFLICT & SECURITY LAW;14677954;14677962;LAW;ESCI;276;1.2;Q2;Q2
JOURNAL OF CONTINUING EDUCATION IN NURSING;00220124;19382472;NURSING;SCIE, SSCI;1359;1.2;Q3;Q3
JOURNAL OF CRIMINAL LAW & CRIMINOLOGY;00914169;21600325;CRIMINOLOGY & PENOLOGY | LAW;SSCI;1578;1.2;Q2;Q2 | Q3
Journal of Critical Care Medicine;23931809;23931817;CRITICAL CARE MEDICINE;ESCI;385;1.2;Q4;Q4
JOURNAL OF CUTANEOUS PATHOLOGY;03036987;16000560;DERMATOLOGY | PATHOLOGY;SCIE;3831;1.2;Q3;Q3 | Q4
Journal of Development Effectiveness;19439342;19439407;DEVELOPMENT STUDIES;SSCI;683;1.2;Q4;Q4
JOURNAL OF DISCRETE MATHEMATICAL SCIENCES & CRYPTOGRAPHY;09720529;21690065;MATHEMATICS, APPLIED;ESCI;1413;1.2;Q2;Q2
JOURNAL OF DYNAMIC SYSTEMS MEASUREMENT AND CONTROL-TRANSACTIONS OF THE ASME;00220434;15289028;AUTOMATION & CONTROL SYSTEMS | INSTRUMENTS & INSTRUMENTATION;SCIE;3963;1.2;Q4;Q4
JOURNAL OF DYNAMICAL AND CONTROL SYSTEMS;10792724;15738698;AUTOMATION & CONTROL SYSTEMS | MATHEMATICS, APPLIED;SCIE;688;1.2;Q2;Q2 | Q4
Journal of Dynamics and Games;21646066;21646074;MATHEMATICS, INTERDISCIPLINARY APPLICATIONS;ESCI;199;1.2;Q3;Q3
JOURNAL OF EAST ASIAN LINGUISTICS;09258558;15728560;LANGUAGE & LINGUISTICS | LINGUISTICS;AHCI | SSCI;540;1.2;Q2;Q2
JOURNAL OF EDUCATIONAL MEASUREMENT;00220655;17453984;PSYCHOLOGY, APPLIED | PSYCHOLOGY, EDUCATIONAL | PSYCHOLOGY, MATHEMATICAL;SSCI;2062;1.2;Q4;Q4
JOURNAL OF ELDER ABUSE & NEGLECT;08946566;15404129;GERONTOLOGY;SSCI;901;1.2;Q4;Q4
JOURNAL OF ELECTRONIC TESTING-THEORY AND APPLICATIONS;09238174;15730727;ENGINEERING, ELECTRICAL & ELECTRONIC;SCIE;641;1.2;Q4;Q4
Journal of Ethics;13824554;15728609;ETHICS | PHILOSOPHY;ESCI;649;1.2;Q3;Q3
Journal of Forest Economics;11046899;16181530;ECONOMICS | FORESTRY;SCIE | SSCI;626;1.2;Q3;Q3
Journal of Forest Science;12124834;1805935X;FORESTRY;ESCI;637;1.2;Q3;Q3
Journal of Gender-Based Violence;23986808;23986816;CRIMINOLOGY & PENOLOGY | WOMENS STUDIES;ESCI;462;1.2;Q3;Q3
Journal of Health Care Chaplaincy;08854726;15286916;HEALTH POLICY & SERVICES;ESCI;545;1.2;Q4;Q4
JOURNAL OF HEALTH CARE FOR THE POOR AND UNDERSERVED;10492089;15486869;HEALTH POLICY & SERVICES | PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH;SSCI;3856;1.2;Q4;Q4
Journal of Healthcare Quality Research;N/A;26036479;HEALTH CARE SCIENCES & SERVICES;ESCI;282;1.2;Q4;Q4
Journal of Hematology;19271212;19271220;HEMATOLOGY;ESCI;334;1.2;Q4;Q4
JOURNAL OF HISTORICAL GEOGRAPHY;03057488;10958614;GEOGRAPHY | HISTORY OF SOCIAL SCIENCES;SSCI;1362;1.2;Q1;Q1 | Q3
Journal of Human Capital;19328575;19328664;ECONOMICS;SSCI;565;1.2;Q3;Q3
Journal of Human Sport and Exercise;19885202;19885202;SPORT SCIENCES;ESCI;1276;1.2;Q4;Q4
JOURNAL OF HUMANISTIC PSYCHOLOGY;00221678;1552650X;PSYCHOLOGY, MULTIDISCIPLINARY;SSCI;1877;1.2;Q3;Q3
Journal of Indian Association for Child and Adolescent Mental Health;09731342;27546349;PEDIATRICS;ESCI;330;1.2;Q3;Q3
Journal of Integral Equations and Applications;08973962;19382626;MATHEMATICS | MATHEMATICS, APPLIED;SCIE;474;1.2;Q1;Q1 | Q2
Journal of Interdisciplinary Economics;02601079;23215305;ECONOMICS;ESCI;158;1.2;Q3;Q3
Journal of International Studies-JIS;1823691X;2289666X;INTERNATIONAL RELATIONS;ESCI;145;1.2;Q3;Q3
Journal of Internet Technology;16079264;20794029;COMPUTER SCIENCE, INFORMATION SYSTEMS | TELECOMMUNICATIONS;SCIE;947;1.2;Q4;Q4
Journal of Inverse and Ill-Posed Problems;09280219;15693945;MATHEMATICS | MATHEMATICS, APPLIED;SCIE;885;1.2;Q1;Q1 | Q2
Journal of Korean Society for Atmospheric Environment;15987132;23835346;METEOROLOGY & ATMOSPHERIC SCIENCES;ESCI;536;1.2;Q4;Q4
Journal of Language Aggression and Conflict;22131272;22131280;LANGUAGE & LINGUISTICS;ESCI;276;1.2;N/A;N/A
JOURNAL OF LAW ECONOMICS & ORGANIZATION;87566222;14657341;ECONOMICS | LAW;SSCI;2299;1.2;Q2;Q2 | Q3
Journal of Lesbian Studies;10894160;15403548;SOCIAL SCIENCES, INTERDISCIPLINARY;ESCI;710;1.2;Q2;Q2
Journal of Library Administration;01930826;15403564;INFORMATION SCIENCE & LIBRARY SCIENCE;ESCI;739;1.2;Q3;Q3
JOURNAL OF LOW TEMPERATURE PHYSICS;00222291;15737357;PHYSICS, APPLIED | PHYSICS, CONDENSED MATTER;SCIE;3839;1.2;Q4;Q4
JOURNAL OF MATHEMATICAL PHYSICS;00222488;10897658;PHYSICS, MATHEMATICAL;SCIE;22975;1.2;Q3;Q3
Journal of Minimal Access Surgery;09729941;19983921;SURGERY;SCIE;1115;1.2;Q3;Q3
JOURNAL OF MOLECULAR SPECTROSCOPY;00222852;1096083X;PHYSICS, ATOMIC, MOLECULAR & CHEMICAL | SPECTROSCOPY;SCIE;4737;1.2;Q4;Q4
Journal of Neuroendovascular Therapy;18824072;21862494;CLINICAL NEUROLOGY | SURGERY;ESCI;364;1.2;Q3;Q3 | Q4
Journal of Neurosurgical Sciences;03905616;18271855;CLINICAL NEUROLOGY | SURGERY;SCIE;1132;1.2;Q3;Q3 | Q4
Journal of Offender Rehabilitation;10509674;15408558;SOCIAL WORK;ESCI;844;1.2;Q3;Q3
Journal of Ovonic Research;18422403;15849953;MATERIALS SCIENCE, MULTIDISCIPLINARY | PHYSICS, APPLIED;SCIE;759;1.2;Q4;Q4
JOURNAL OF PARASITOLOGY;00223395;19372345;PARASITOLOGY;SCIE;7586;1.2;Q4;Q4
Journal of Peace Education;17400201;1740021X;EDUCATION & EDUCATIONAL RESEARCH;ESCI;375;1.2;Q3;Q3
JOURNAL OF PHILOSOPHICAL LOGIC;00223611;15730433;PHILOSOPHY;AHCI;1578;1.2;N/A;N/A
JOURNAL OF PHYTOPATHOLOGY;09311785;14390434;PLANT SCIENCES;SCIE;3411;1.2;Q3;Q3
Journal of Policing, Intelligence and Counter Terrorism;18335330;21595364;CRIMINOLOGY & PENOLOGY | INTERNATIONAL RELATIONS | POLITICAL SCIENCE;ESCI;219;1.2;Q3;Q3
JOURNAL OF REGULATORY ECONOMICS;0922680X;15730468;ECONOMICS;SSCI;766;1.2;Q3;Q3
JOURNAL OF RELIGION AND SPIRITUALITY IN SOCIAL WORK;15426432;15426440;SOCIAL WORK;ESCI;438;1.2;Q3;Q3
Journal of Sensors and Sensor Systems;21948771;2194878X;INSTRUMENTS & INSTRUMENTATION;ESCI;495;1.2;Q4;Q4
JOURNAL OF SOCIAL SERVICE RESEARCH;01488376;15407314;SOCIAL WORK;SSCI;1757;1.2;Q3;Q3
JOURNAL OF SOCIAL WORK PRACTICE;02650533;14653885;SOCIAL WORK;SSCI;790;1.2;Q3;Q3
Journal of Superhard Materials;10634576;19349408;MATERIALS SCIENCE, MULTIDISCIPLINARY;SCIE;745;1.2;Q4;Q4
Journal of Sustainable Forestry;10549811;1540756X;FORESTRY;SCIE;1268;1.2;Q3;Q3
Journal of Teaching and Learning;14921154;19118279;EDUCATION & EDUCATIONAL RESEARCH;ESCI;187;1.2;Q3;Q3
Journal of Teaching in International Business;08975930;15286991;EDUCATION & EDUCATIONAL RESEARCH;ESCI;283;1.2;Q3;Q3
Journal of the Civil War Era;21544727;21599807;HISTORY;SSCI;433;1.2;Q1;Q1
JOURNAL OF THE GEOLOGICAL SOCIETY OF INDIA;00167622;09746889;GEOSCIENCES, MULTIDISCIPLINARY;SCIE;4589;1.2;Q4;Q4
Journal of Thermal Science and Technology;18805566;18805566;THERMODYNAMICS;SCIE;505;1.2;Q4;Q4
JOURNAL OF TIME SERIES ANALYSIS;01439782;14679892;MATHEMATICS, INTERDISCIPLINARY APPLICATIONS | STATISTICS & PROBABILITY;SCIE;1988;1.2;Q3;Q3
Journal of Usability Studies;19313357;19313357;COMPUTER SCIENCE, CYBERNETICS;ESCI;1192;1.2;Q4;Q4
JOURNAL OF VESTIBULAR RESEARCH-EQUILIBRIUM & ORIENTATION;09574271;18786464;NEUROSCIENCES | OTORHINOLARYNGOLOGY;SCIE;2143;1.2;Q3;Q3 | Q4
Journal of Visual Communication in Medicine;17453054;17453062;RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING;ESCI;242;1.2;Q4;Q4
Journal on Efficiency and Responsibility in Education and Science;23362375;18031617;EDUCATION & EDUCATIONAL RESEARCH;ESCI;199;1.2;Q3;Q3
Jove-Journal of Visualized Experiments;1940087X;1940087X;MULTIDISCIPLINARY SCIENCES;SCIE;26374;1.2;Q3;Q3
Kinesiology;13311441;1848638X;REHABILITATION | SPORT SCIENCES;SCIE | SCIE, SSCI;862;1.2;Q3;Q3 | Q4
Language Matters;10228195;17535395;LANGUAGE & LINGUISTICS | LINGUISTICS;AHCI | SSCI;265;1.2;Q2;Q2
Laser & Optoelectronics Progress;10064125;10064125;ENGINEERING, ELECTRICAL & ELECTRONIC | OPTICS;ESCI;4445;1.2;Q4;Q4
Lexikos;16844904;22240039;LANGUAGE & LINGUISTICS | LINGUISTICS;AHCI | SSCI;373;1.2;Q2;Q2
LICHENOLOGIST;00242829;10961135;MYCOLOGY | PLANT SCIENCES;SCIE;1584;1.2;Q3;Q3 | Q4
Linguistic Typology;14300532;1613415X;LANGUAGE & LINGUISTICS | LINGUISTICS;AHCI | SSCI;752;1.2;Q2;Q2
Magnetism;N/A;26738724;PHYSICS, APPLIED | PHYSICS, CONDENSED MATTER;ESCI;113;1.2;Q4;Q4
Malaysian Family Physician;1985207X;19852274;PRIMARY HEALTH CARE;ESCI;552;1.2;Q4;Q4
MAMMAL STUDY;13434152;13486160;ZOOLOGY;SCIE;708;1.2;Q3;Q3
Marine Biology Research;17451000;17451019;ECOLOGY | MARINE & FRESHWATER BIOLOGY;SCIE;1737;1.2;Q3;Q3 | Q4
Marketing and Management of Innovations;22184511;22276718;MANAGEMENT;ESCI;509;1.2;Q4;Q4
MATERIALS AT HIGH TEMPERATURES;09603409;18786413;MATERIALS SCIENCE, MULTIDISCIPLINARY | METALLURGY & METALLURGICAL ENGINEERING;SCIE;1429;1.2;Q3;Q3 | Q4
Mathematical Communications;13310623;13310623;MATHEMATICS | MATHEMATICS, APPLIED;SCIE;317;1.2;Q1;Q1 | Q2
MATHEMATICAL METHODS OF OPERATIONS RESEARCH;14322994;14325217;MATHEMATICS, APPLIED | OPERATIONS RESEARCH & MANAGEMENT SCIENCE;SCIE;1151;1.2;Q2;Q2 | Q4
MATHEMATICAL PHYSICS ANALYSIS AND GEOMETRY;13850172;15729656;MATHEMATICS, APPLIED | PHYSICS, MATHEMATICAL;SCIE;453;1.2;Q2;Q2 | Q3
Mathematical Population Studies;08898480;1547724X;DEMOGRAPHY | MATHEMATICS, INTERDISCIPLINARY APPLICATIONS | SOCIAL SCIENCES, MATHEMATICAL METHODS | STATISTICS & PROBABILITY;SCIE | SSCI;263;1.2;Q3;Q3
Mediterranean Journal of Mathematics;16605446;16605454;MATHEMATICS | MATHEMATICS, APPLIED;SCIE;2934;1.2;Q1;Q1 | Q2
Mediterranean Politics;13629395;17439418;AREA STUDIES | INTERNATIONAL RELATIONS | POLITICAL SCIENCE;SSCI;839;1.2;Q2;Q2 | Q3
Medizinische Genetik;09365931;18635490;GENETICS & HEREDITY;SCIE;302;1.2;Q4;Q4
Membranes and Membrane Technologies;25177516;25177524;CHEMISTRY, PHYSICAL | ENGINEERING, CHEMICAL | POLYMER SCIENCE;ESCI;283;1.2;Q4;Q4
Metallurgical Research & Technology;22713646;22713654;METALLURGY & METALLURGICAL ENGINEERING;SCIE;1141;1.2;Q3;Q3
METRIKA;00261335;1435926X;STATISTICS & PROBABILITY;SCIE;1087;1.2;Q3;Q3
MILITARY MEDICINE;00264075;1930613X;MEDICINE, GENERAL & INTERNAL;SCIE;8563;1.2;Q2;Q2
Minerva Obstetrics and Gynecology;2724606X;27246450;OBSTETRICS & GYNECOLOGY;ESCI;401;1.2;Q4;Q4
Modern Stochastics-Theory and Applications;23516054;23516054;STATISTICS & PROBABILITY;ESCI;153;1.2;Q3;Q3
MRS Advances;27315894;20598521;MATERIALS SCIENCE, MULTIDISCIPLINARY;ESCI;2499;1.2;Q4;Q4
Multilingua-Journal of Cross-Cultural and Interlanguage Communication;01678507;16133684;LANGUAGE & LINGUISTICS | LINGUISTICS;AHCI | SSCI;955;1.2;Q2;Q2
Museum Anthropology;08928339;15481379;ANTHROPOLOGY;ESCI;227;1.2;Q2;Q2
Music Education Research;14613808;14699893;EDUCATION & EDUCATIONAL RESEARCH | MUSIC;AHCI | SSCI;1153;1.2;Q3;Q3
Nanofabrication;2299680X;2299680X;NANOSCIENCE & NANOTECHNOLOGY;ESCI;121;1.2;Q4;Q4
Nase More;04696255;18486320;ENGINEERING, MARINE;ESCI;190;1.2;Q3;Q3
National Institute Economic Review;00279501;17413036;ECONOMICS;ESCI;507;1.2;Q3;Q3
NATIONAL MEDICAL JOURNAL OF INDIA;2583150X;0970258X;MEDICINE, GENERAL & INTERNAL;SCIE;937;1.2;Q2;Q2
Nature Conservation Research;2500008X;2500008X;BIODIVERSITY CONSERVATION;ESCI;307;1.2;Q4;Q4
NETHERLANDS JOURNAL OF GEOSCIENCES;00167746;15739708;GEOSCIENCES, MULTIDISCIPLINARY;SCIE;773;1.2;Q4;Q4
Netherlands Quarterly of Human Rights;09240519;22147357;LAW;SSCI;402;1.2;Q2;Q2
NEUROLOGIST;10747931;23312637;CLINICAL NEUROLOGY;SCIE;1096;1.2;Q4;Q4
Neuroradiology Journal;19714009;23851996;NEUROIMAGING;ESCI;1624;1.2;Q4;Q4
NEW GENETICS AND SOCIETY;14636778;14699915;BIOTECHNOLOGY & APPLIED MICROBIOLOGY | GENETICS & HEREDITY | HISTORY & PHILOSOPHY OF SCIENCE | SOCIAL ISSUES | SOCIAL SCIENCES, BIOMEDICAL;SCIE | SSCI;436;1.2;Q1;Q1 | Q3 | Q4
New Microbiologica;11217138;11217138;MICROBIOLOGY;SCIE;1034;1.2;Q4;Q4
NEW ZEALAND JOURNAL OF EDUCATIONAL STUDIES;00288276;21994714;EDUCATION & EDUCATIONAL RESEARCH;ESCI;413;1.2;Q3;Q3
NEW ZEALAND MEDICAL JOURNAL;00288446;11758716;MEDICINE, GENERAL & INTERNAL;ESCI;3008;1.2;Q2;Q2
Nigerian Postgraduate Medical Journal;11171936;24686875;MEDICINE, GENERAL & INTERNAL;ESCI;662;1.2;Q2;Q2
NODEA-NONLINEAR DIFFERENTIAL EQUATIONS AND APPLICATIONS;10219722;14209004;MATHEMATICS, APPLIED;SCIE;1493;1.2;Q2;Q2
Nordic Journal of Human Rights;18918131;1891814X;POLITICAL SCIENCE;ESCI;288;1.2;Q3;Q3
NORDIC PULP & PAPER RESEARCH JOURNAL;02832631;20000669;MATERIALS SCIENCE, PAPER & WOOD;SCIE;1330;1.2;Q3;Q3
NORTH AMERICAN JOURNAL OF AQUACULTURE;15222055;15488454;FISHERIES;SCIE;1308;1.2;Q3;Q3
NUCLEAR MEDICINE REVIEW;15069680;16444345;RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING;ESCI;264;1.2;Q4;Q4
NUCLEAR SCIENCE AND ENGINEERING;00295639;1943748X;NUCLEAR SCIENCE & TECHNOLOGY;SCIE;3702;1.2;Q3;Q3
Ocular Oncology and Pathology;22964681;22964657;OPHTHALMOLOGY;ESCI;599;1.2;Q4;Q4
Open Computer Science;22991093;22991093;COMPUTER SCIENCE, THEORY & METHODS;ESCI;307;1.2;Q3;Q3
OPTICAL ENGINEERING;00913286;15602303;OPTICS;SCIE;10559;1.2;Q4;Q4
Ovidius University Annals of Chemistry;15832430;2286038X;CHEMISTRY, MULTIDISCIPLINARY;ESCI;189;1.2;Q4;Q4
PARASITE IMMUNOLOGY;01419838;13653024;IMMUNOLOGY | PARASITOLOGY;SCIE;2369;1.2;Q4;Q4
Pastoral Psychology;00312789;15736679;PSYCHOLOGY, MULTIDISCIPLINARY | RELIGION;ESCI;850;1.2;Q3;Q3
PEDIATRIC DERMATOLOGY;07368046;15251470;DERMATOLOGY | PEDIATRICS;SCIE;4972;1.2;Q3;Q3
Pediatric Quality & Safety;N/A;24720054;PEDIATRICS;ESCI;921;1.2;Q3;Q3
Personalized Medicine;17410541;1744828X;PHARMACOLOGY & PHARMACY;SCIE;927;1.2;Q4;Q4
Perspectives-Studies in Translation Theory and Practice;0907676X;17476623;LANGUAGE & LINGUISTICS | LINGUISTICS;AHCI | SSCI;1285;1.2;Q2;Q2
Philosophical Explorations;13869795;17415918;PHILOSOPHY;AHCI;623;1.2;N/A;N/A
PHLEBOLOGY;02683555;17581125;PERIPHERAL VASCULAR DISEASE;SCIE;1844;1.2;Q4;Q4
Physical Culture and Sport Studies and Research;20812221;18994849;HOSPITALITY, LEISURE, SPORT & TOURISM;ESCI;344;1.2;Q3;Q3
PHYSICS AND CHEMISTRY OF LIQUIDS;00319104;10290451;CHEMISTRY, PHYSICAL | PHYSICS, CONDENSED MATTER;SCIE;1144;1.2;Q4;Q4
Phytotaxa;11793155;11793163;PLANT SCIENCES;SCIE;9946;1.2;Q3;Q3
Planning Perspectives;02665433;14664518;ARCHITECTURE | HISTORY | HISTORY OF SOCIAL SCIENCES;AHCI | SSCI;1069;1.2;Q1;Q1
Plant Health Progress;15351025;15351025;PLANT SCIENCES;ESCI;1410;1.2;Q3;Q3
PLANT SPECIES BIOLOGY;0913557X;14421984;ECOLOGY | PLANT SCIENCES;SCIE;959;1.2;Q3;Q3 | Q4
Plastic Surgery;22925503;22925511;SURGERY;SCIE;811;1.2;Q3;Q3
POLAR RESEARCH;08000395;17518369;ECOLOGY | GEOSCIENCES, MULTIDISCIPLINARY | OCEANOGRAPHY;SCIE;1604;1.2;Q4;Q4
Poljoprivreda;13307142;18488080;AGRICULTURAL ECONOMICS & POLICY;ESCI;245;1.2;Q3;Q3
POLYMER SCIENCE SERIES A;0965545X;15556107;POLYMER SCIENCE;SCIE;1562;1.2;Q4;Q4
PORTAL-LIBRARIES AND THE ACADEMY;15312542;15307131;INFORMATION SCIENCE & LIBRARY SCIENCE;SSCI;699;1.2;Q3;Q3
PROCEEDINGS OF THE GEOLOGISTS ASSOCIATION;00167878;N/A;GEOLOGY | PALEONTOLOGY;SCIE;1543;1.2;Q2;Q2 | Q3
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-MUNICIPAL ENGINEER;09650903;17517699;ENGINEERING, CIVIL;SCIE;412;1.2;Q4;Q4
PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-STRUCTURES AND BUILDINGS;09650911;17517702;CONSTRUCTION & BUILDING TECHNOLOGY | ENGINEERING, CIVIL;SCIE;1574;1.2;Q4;Q4
PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART G-JOURNAL OF AEROSPACE ENGINEERING;09544100;20413025;ENGINEERING, AEROSPACE | ENGINEERING, MECHANICAL;SCIE;3630;1.2;Q3;Q3 | Q4
Proceedings of the Institution of Mechanical Engineers Part P-Journal of Sports Engineering and Technology;17543371;1754338X;ENGINEERING, MECHANICAL | SPORT SCIENCES;SCIE;778;1.2;Q4;Q4
PROCESS SAFETY PROGRESS;10668527;15475913;ENGINEERING, CHEMICAL;SCIE;1367;1.2;Q4;Q4
Processing and Application of Ceramics;18206131;24061034;MATERIALS SCIENCE, CERAMICS;SCIE;784;1.2;Q3;Q3
Professional Case Management;19328087;19328095;HEALTH CARE SCIENCES & SERVICES;ESCI;353;1.2;Q4;Q4
PROGRES EN UROLOGIE;11667087;24055131;UROLOGY & NEPHROLOGY;SCIE;1119;1.2;Q4;Q4
Progress in Biomaterials;21940509;21940517;ENGINEERING, BIOMEDICAL | MATERIALS SCIENCE, BIOMATERIALS;SCIE;1370;1.2;Q4;Q4
Psychology of Leaders and Leadership;27696863;27696898;PSYCHOLOGY, APPLIED;ESCI;56;1.2;Q4;Q4
Quaestiones Geographicae;0137477X;20816383;GEOGRAPHY;ESCI;878;1.2;Q3;Q3
Qualitative Report;10520147;21603715;SOCIAL SCIENCES, INTERDISCIPLINARY;ESCI;7069;1.2;Q2;Q2
Quarterly Journal of Engineering Geology and Hydrogeology;14709236;20414803;ENGINEERING, GEOLOGICAL | GEOSCIENCES, MULTIDISCIPLINARY;SCIE;1585;1.2;Q4;Q4
RARE METAL MATERIALS AND ENGINEERING;1002185X;18755372;MATERIALS SCIENCE, MULTIDISCIPLINARY | METALLURGY & METALLURGICAL ENGINEERING;SCIE;4862;1.2;Q3;Q3 | Q4
Rare Tumors;20363605;20363613;ONCOLOGY;ESCI;498;1.2;Q4;Q4
Raumforschung und Raumordnung-Spatial Research and Planning;00340111;18694179;GEOGRAPHY;ESCI;385;1.2;Q3;Q3
Region;21664307;21650659;AREA STUDIES;ESCI;230;1.2;Q2;Q2
REGISTER Journal;19798903;2503040X;EDUCATION & EDUCATIONAL RESEARCH | LINGUISTICS;ESCI;88;1.2;Q2;Q2 | Q3
Religion State & Society;09637494;14653974;RELIGION;ESCI;480;1.2;N/A;N/A
Reproductive and Developmental Medicine;20962924;25898728;OBSTETRICS & GYNECOLOGY;ESCI;202;1.2;Q4;Q4
Res Publica-A Journal of Moral Legal and Political Philosophy;13564765;15728692;PHILOSOPHY;AHCI;619;1.2;N/A;N/A
Research in the Mathematical Sciences;25220144;21979847;MATHEMATICS;SCIE;670;1.2;Q1;Q1
Reumatismo;00487449;22402683;RHEUMATOLOGY;ESCI;571;1.2;Q4;Q4
Review of Derivatives Research;13806645;15737144;BUSINESS, FINANCE | ECONOMICS;SSCI;192;1.2;Q3;Q3
REVIEW OF RELIGIOUS RESEARCH;0034673X;22114866;RELIGION | SOCIOLOGY;AHCI | SSCI;1043;1.2;Q3;Q3
Reviews on Recent Clinical Trials;15748871;18761038;PHARMACOLOGY & PHARMACY;ESCI;665;1.2;Q4;Q4
Revista Brasileira de Enfermagem;00347167;19840446;NURSING;ESCI;4269;1.2;Q3;Q3
Revista da Escola de Enfermagem da USP;00806234;1980220X;NURSING;SCIE, SSCI;2588;1.2;Q3;Q3
Revista de Estudios Sociales;0123885X;19005180;SOCIAL ISSUES | SOCIAL SCIENCES, INTERDISCIPLINARY;SSCI;633;1.2;Q2;Q2 | Q3
Revista Electronica de Investigacion Educativa;N/A;16074041;EDUCATION & EDUCATIONAL RESEARCH;ESCI;463;1.2;Q3;Q3
Revista Espanola de Medicina Nuclear e Imagen Molecular;2253654X;N/A;RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING;SCIE;484;1.2;Q4;Q4
REVISTA MEXICANA DE FISICA;0035001X;0035001X;PHYSICS, MULTIDISCIPLINARY;SCIE;1282;1.2;Q3;Q3
Revista Mexicana de Ingenieria Quimica;16652738;N/A;CHEMISTRY, APPLIED | ENGINEERING, CHEMICAL;SCIE;929;1.2;Q4;Q4
Rivista di Storia Economica;03933415;26121026;ECONOMICS | HISTORY | HISTORY OF SOCIAL SCIENCES;ESCI;179;1.2;Q1;Q1 | Q3
Rorschachiana;11925604;2151206X;PSYCHOLOGY, CLINICAL;ESCI;169;1.2;Q3;Q3
Russian Journal of Linguistics;26870088;26868024;LANGUAGE & LINGUISTICS;ESCI;231;1.2;N/A;N/A
SABRAO Journal of Breeding and Genetics;10297073;22248978;PLANT SCIENCES;ESCI;972;1.2;Q3;Q3
SAE International Journal of Materials and Manufacturing;19463979;19463987;TRANSPORTATION SCIENCE & TECHNOLOGY;ESCI;558;1.2;Q4;Q4
SAINS TANAH;14123606;23561424;AGRONOMY | ENVIRONMENTAL SCIENCES | SOIL SCIENCE;ESCI;210;1.2;Q3;Q3 | Q4
Sao Paulo Medical Journal;15163180;N/A;MEDICINE, GENERAL & INTERNAL;SCIE;1671;1.2;Q2;Q2
Saudi Journal of Anaesthesia;1658354X;09753125;ANESTHESIOLOGY;ESCI;3088;1.2;Q3;Q3
SCANDINAVIAN JOURNAL OF STATISTICS;03036898;14679469;STATISTICS & PROBABILITY;SCIE;4165;1.2;Q3;Q3
School Science and Mathematics;00366803;19498594;EDUCATION & EDUCATIONAL RESEARCH;ESCI;1500;1.2;Q3;Q3
SCIENCE & SPORTS;07651597;07651597;SPORT SCIENCES;SCIE;1146;1.2;Q4;Q4
Scientia Agropecuaria;20779917;23066741;AGRICULTURE, DAIRY & ANIMAL SCIENCE;ESCI;665;1.2;Q3;Q3
SCOTTISH JOURNAL OF POLITICAL ECONOMY;00369292;14679485;ECONOMICS | POLITICAL SCIENCE;SSCI;807;1.2;Q3;Q3
SEMINARS IN INTERVENTIONAL RADIOLOGY;07399529;10988963;RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING;SCIE;2159;1.2;Q4;Q4
Set-Valued and Variational Analysis;18770533;18770541;MATHEMATICS, APPLIED;SCIE;728;1.2;Q2;Q2
Shoulder & Elbow;17585732;17585740;ORTHOPEDICS;ESCI;1435;1.2;Q3;Q3
SINGAPORE ECONOMIC REVIEW;02175908;17936837;ECONOMICS;SSCI;1303;1.2;Q3;Q3
Small Enterprise Research;13215906;11750979;BUSINESS;ESCI;404;1.2;Q4;Q4
Smart and Sustainable Manufacturing Systems;25206478;25723928;ENGINEERING, MANUFACTURING;ESCI;168;1.2;Q4;Q4
Social Influence;15534510;15534529;PSYCHOLOGY, SOCIAL;SSCI;722;1.2;Q4;Q4
